FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d42,313020,Iliamna,20275,Confirmed Eruption,4,P,Upper NE flank,,Radiocarbon (uncorrected),?,-2050,,,0,0,,,,,,,,,POINT (60.032 -153.09)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d43,313040,Spurr,20397,Confirmed Eruption,4,,South flank (Crater Peak),,Historical Observations,,1953,,,7,9,,,1953,,,7,16,,POINT (61.299 -152.251)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d44,313040,Spurr,20399,Confirmed Eruption,4,,South flank (Crater Peak),,Historical Observations,,1992,,,6,27,,,1992,,,9,17,,POINT (61.299 -152.251)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d45,313050,Hayes,20401,Confirmed Eruption,5,,,,Tephrochronology,?,-1550,,,0,0,,,,,,,,,POINT (61.64 -152.411)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d46,315020,Wrangell,20407,Confirmed Eruption,4,C,,,Radiocarbon (uncorrected),,190,200,,0,0,,,,,,,,,POINT (62.006 -144.017)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d47,315030,Churchill,20421,Confirmed Eruption,6,,,WRAn,Radiocarbon (uncorrected),,60,200,,0,0,,,,,,,,,POINT (61.38 -141.75)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d48,315030,Churchill,20422,Confirmed Eruption,6,,,WRAe,Tephrochronology,,847,1,,,,,,,,,,,,POINT (61.38 -141.75)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d49,320180,Meager,20445,Confirmed Eruption,5,?,NE flank of Plinth Peak,,Radiocarbon (corrected),,-410,200,,0,0,,,,,,,,,POINT (50.63 -123.5)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4a,321020,Glacier Peak,20471,Confirmed Eruption,4,+,,,Radiocarbon (uncorrected),,200,50,,0,0,,,,,,,,,POINT (48.112 -121.113)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4b,321030,Rainier,20490,Confirmed Eruption,4,,,Tephra layer C,Radiocarbon (corrected),,-250,200,,0,0,,,,,,,,,POINT (46.853 -121.76)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4c,321050,St. Helens,20518,Confirmed Eruption,5,,,Yb layer,Radiocarbon (corrected),?,-2340,,,0,0,,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4d,321050,St. Helens,20520,Confirmed Eruption,6,,,Tephra layer Yn,Radiocarbon (corrected),?,-1860,,,0,0,,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4e,321050,St. Helens,20521,Confirmed Eruption,5,,,Tephra layer Ye,Tephrochronology,,-1770,100,,0,0,,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d4f,321050,St. Helens,20529,Confirmed Eruption,5,,,Pine Creek tephra layers Ps and Pu,Radiocarbon (corrected),?,-530,,,0,0,,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d50,321050,St. Helens,20540,Confirmed Eruption,5,+,,tephra Wn,Dendrochronology,,1480,,,1,15,120,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d51,321050,St. Helens,20541,Confirmed Eruption,5,,,Tephra layer We,Dendrochronology,,1482,,,1,15,120,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d52,321050,St. Helens,20544,Confirmed Eruption,5,,N flank--Goat Rocks area,Layer T,Dendrochronology,,1800,,,1,15,120,,,,,,,,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d53,321050,St. Helens,20557,Confirmed Eruption,5,,Summit and north flank,,Historical Observations,,1980,,,3,27,,,1986,,,10,28,3,POINT (46.2 -122.18)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d54,322040,Sand Mountain Field,22204,Confirmed Eruption,4,,,,Magnetism,,-950,200,,,,,,,,,,,,POINT (44.38 -121.93)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d55,322070,Three Sisters,20593,Confirmed Eruption,4,,SW flank of South Sister (Rock Mesa),,Radiocarbon (uncorrected),?,-350,,,0,0,,,,,,,,,POINT (44.133 -121.767)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d56,322110,Newberry,20607,Confirmed Eruption,4,,South caldera wall,,Radiocarbon (corrected),,490,100,,0,0,,,,,,,,,POINT (43.722 -121.229)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d57,322110,Newberry,20608,Confirmed Eruption,4,,S caldera wall,Big Obsidian Flow,Radiocarbon (corrected),,690,100,,0,0,,,,,,,,,POINT (43.722 -121.229)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d58,322160,Crater Lake,20609,Confirmed Eruption,6,,North flank (Llao Rock),,Radiocarbon (corrected),,-5900,50,,0,0,,,,,,,,,POINT (42.93 -122.12)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d59,322160,Crater Lake,20610,Confirmed Eruption,7,,Mt. Mazama summit and flank vents,,Ice Core,,-5680,150,,,,,,,,,,,,POINT (42.93 -122.12)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5a,322170,Diamond Craters,20614,Confirmed Eruption,4,,,,Radiocarbon (corrected),,-5610,470,,0,0,,,,,,,,,POINT (43.1 -118.75)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5b,323010,Shasta,20619,Confirmed Eruption,4,,"Summit, S flank (Red Banks), and Shastina",,Radiocarbon (uncorrected),,-7650,100,,0,0,,,,,,,,,POINT (41.409 -122.193)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5c,323120,Mono-Inyo Craters,20670,Confirmed Eruption,4,,Southern Mono Craters (South Coulee area),,Radiocarbon (corrected),,620,27,,0,0,,,,,,,,,POINT (37.804 -119.029)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5d,323120,Mono-Inyo Craters,20673,Confirmed Eruption,4,,"Mono Craters (Panum Crater, nearby vents)",,Dendrochronology,,1350,20,,0,0,,,,,,,,,POINT (37.804 -119.029)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5e,323120,Mono-Inyo Craters,22201,Confirmed Eruption,4,,"Inyo Craters (S Deadman, Obsidian, Glass Creek)",,Radiocarbon (corrected),,1380,50,,,,,,,,,,,,POINT (37.804 -119.029)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d5f,329020,San Francisco Volcanic Field,20704,Confirmed Eruption,4,?,Sunset Crater and SE-trending fissures,,Magnetism,,1075,25,,0,0,,,,,,,,,POINT (35.347 -111.678)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d60,332010,Kilauea,10060,Confirmed Eruption,4,,Kilauea Caldera (Keanakakoi ash),,Historical Observations,,1790,,?,11,0,,,,,,,,,POINT (19.421 -155.287)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d61,341030,Ceboruco,10380,Confirmed Eruption,6,,,Jala Pumice,Radiocarbon (uncorrected),,930,200,,0,0,,,,,,,,,POINT (21.125 -104.508)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d62,341040,Colima,10399,Confirmed Eruption,4,?,,,Radiocarbon (uncorrected),,-2370,150,,0,0,,,,,,,,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d63,341040,Colima,10414,Confirmed Eruption,4,,,,Historical Observations,,1585,,,1,10,,,,,,,,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d64,341040,Colima,10417,Confirmed Eruption,4,,,,Historical Observations,,1606,,,11,25,,,1606,,>,12,13,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d65,341040,Colima,10419,Confirmed Eruption,4,,,,Historical Observations,,1622,,,6,8,,,1622,,,6,9,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d66,341040,Colima,10436,Confirmed Eruption,4,,,,Historical Observations,,1818,,,2,15,,,1818,,?,2,16,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d67,341040,Colima,10452,Confirmed Eruption,4,,,,Historical Observations,,1889,,,8,9,,,1890,,,2,16,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d68,341040,Colima,10459,Confirmed Eruption,5,,,,Historical Observations,,1913,,,1,17,,,1913,,,1,24,,POINT (19.514 -103.62)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d69,341060,Michoacan-Guanajuato,10485,Confirmed Eruption,4,,Jorullo,,Historical Observations,,1759,,,9,29,,,1774,,,0,0,,POINT (19.85 -101.75)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6a,341060,Michoacan-Guanajuato,10486,Confirmed Eruption,4,,Parícutin,,Historical Observations,,1943,,,2,20,,,1952,,,2,25,,POINT (19.85 -101.75)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6b,341080,Chichinautzin,10489,Confirmed Eruption,4,,Tres Cruces,,Radiocarbon (corrected),,-7370,300,,0,0,,,,,,,,,POINT (19.08 -99.13)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6c,341090,Popocatepetl,10506,Confirmed Eruption,4,P,Volcán El Fraile,,Radiocarbon (uncorrected),?,-7150,,,0,0,,,,,,,,,POINT (19.023 -98.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6d,341090,Popocatepetl,10508,Confirmed Eruption,4,P,Volcán El Fraile,,Radiocarbon (uncorrected),?,-5150,,,0,0,,,,,,,,,POINT (19.023 -98.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6e,341090,Popocatepetl,10509,Confirmed Eruption,5,,Volcán El Fraile,,Radiocarbon (corrected),,-3700,300,,0,0,,,,,,,,,POINT (19.023 -98.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d6f,341090,Popocatepetl,10512,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-200,300,,0,0,,,,,,,,,POINT (19.023 -98.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d70,341090,Popocatepetl,10514,Confirmed Eruption,4,P,,,Ice Core,,823,,,3,1,90,,,,,,,,POINT (19.023 -98.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d71,341100,"Orizaba, Pico de",10558,Confirmed Eruption,4,,,Lower Citlaltépetl ignimbrite,Radiocarbon (uncorrected),,-7030,50,,0,0,,,,,,,,,POINT (19.03 -97.27)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d72,341100,"Orizaba, Pico de",10559,Confirmed Eruption,5,?,,Upper Citlaltépetl ignimbrite,Radiocarbon (uncorrected),,-6710,150,,0,0,,,,,,,,,POINT (19.03 -97.27)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d73,341100,"Orizaba, Pico de",10564,Confirmed Eruption,4,,,La Perla unit,Radiocarbon (uncorrected),,-2300,75,,0,0,,,,,,,,,POINT (19.03 -97.27)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d74,341110,San Martin,10593,Confirmed Eruption,4,,Cinder cones in summit crater,,Historical Observations,,1793,,,3,2,,,1793,,,12,0,,POINT (18.57 -95.2)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d75,341120,"Chichon, El",10599,Confirmed Eruption,5,,,Tephra unit K,Radiocarbon (corrected),,-2030,100,,0,0,,,,,,,,,POINT (17.36 -93.228)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d76,341120,"Chichon, El",10606,Confirmed Eruption,5,,,Tephra unit D,Radiocarbon (corrected),,780,100,,0,0,,,,,,,,,POINT (17.36 -93.228)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d77,341120,"Chichon, El",10607,Confirmed Eruption,4,,,Tephra unit C,Radiocarbon (corrected),,1190,150,,0,0,,,,,,,,,POINT (17.36 -93.228)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d78,341120,"Chichon, El",10608,Confirmed Eruption,5,,,Tephra unit B,Radiocarbon (corrected),,1360,100,,0,0,,,,,,,,,POINT (17.36 -93.228)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d79,341120,"Chichon, El",10610,Confirmed Eruption,5,,,Tephra unit A,Historical Observations,,1982,,,3,28,,,1982,,,9,11,,POINT (17.36 -93.228)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7a,341130,Tacana,10616,Confirmed Eruption,4,?,San Antonio (upper SW flank),,Radiocarbon (corrected),,70,100,,0,0,,,,,,,,,POINT (15.132 -92.109)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7b,342030,Santa Maria,10624,Confirmed Eruption,6,?,SW flank,,Historical Observations,,1902,,,10,24,,,1902,,,11,12,,POINT (14.757 -91.552)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7c,342090,Fuego,10673,Confirmed Eruption,4,?,,,Historical Observations,,1581,,,12,5,,,1582,,,1,15,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7d,342090,Fuego,10692,Confirmed Eruption,4,?,,,Historical Observations,,1717,,,8,27,,,1717,,,12,26,5,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7e,342090,Fuego,10695,Confirmed Eruption,4,?,,,Historical Observations,,1737,,,8,27,,,1737,,,9,24,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d7f,342090,Fuego,10707,Confirmed Eruption,4,?,,,Historical Observations,,1857,,,1,15,,,1857,,,2,17,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d80,342090,Fuego,10714,Confirmed Eruption,4,?,,,Historical Observations,,1880,,,6,28,,,1880,,,8,20,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d81,342090,Fuego,10716,Confirmed Eruption,4,,,,Historical Observations,,1932,,,1,21,,,1932,,,1,22,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d82,342090,Fuego,10727,Confirmed Eruption,4,,,,Historical Observations,,1974,,,10,10,,,1974,,,12,4,,POINT (14.473 -90.88)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d83,343050,San Salvador,10824,Confirmed Eruption,4,,Boquerón,San Andrés Talpetate Tuff,Anthropology,?,1200,,,0,0,,,,,,,,,POINT (13.734 -89.294)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d84,343060,Ilopango,10830,Confirmed Eruption,6,+,Ilopango,,Radiocarbon (corrected),,450,30,,0,0,,,,,,,,,POINT (13.672 -89.053)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d85,344010,Cosiguina,10872,Confirmed Eruption,5,,,,Historical Observations,,1835,,,1,20,,,1835,,?,1,25,,POINT (12.98 -87.57)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d86,344040,Telica,10900,Confirmed Eruption,4,,,,Historical Observations,,1529,,,0,0,,,,,,,,,POINT (12.606 -86.84)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d87,344091,Apoyeque,10974,Confirmed Eruption,5,,Laguna Xiloá,,Radiocarbon (uncorrected),,-4160,30,,0,0,,,,,,,,,POINT (12.242 -86.342)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d88,344091,Apoyeque,10975,Confirmed Eruption,5,,W Chiltepe Peninsula,Mateare Tephra,Tephrochronology,,-2550,1500,,0,0,,,,,,,,,POINT (12.242 -86.342)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d89,344091,Apoyeque,10976,Confirmed Eruption,4,,,Los Cedros Tephra,Tephrochronology,,-1050,1000,,0,0,,,,,,,,,POINT (12.242 -86.342)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8a,344091,Apoyeque,10977,Confirmed Eruption,6,,Apoyeque,Chiltepe Tephra,Tephrochronology,,-50,100,,0,0,,,,,,,,,POINT (12.242 -86.342)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8b,344090,Momotombo,10984,Confirmed Eruption,4,+,,,Radiocarbon (uncorrected),,-800,50,,0,0,,,,,,,,,POINT (12.423 -86.539)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8c,344090,Momotombo,10988,Confirmed Eruption,4,,,,Historical Observations,,1605,,,0,0,,,1606,,,0,0,,POINT (12.423 -86.539)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8d,344100,Masaya,11004,Confirmed Eruption,6,,NW of caldera,San Antonio Tephra,Tephrochronology,?,-4050,,,0,0,,,,,,,,,POINT (11.984 -86.161)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8e,344100,Masaya,11005,Confirmed Eruption,5,,,Masaya Triple Layer,Radiocarbon (uncorrected),,-170,100,,0,0,,,,,,,,,POINT (11.984 -86.161)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d8f,344100,Masaya,11006,Confirmed Eruption,5,+,,Masaya Tuff,Tephrochronology,?,150,,,0,0,,,,,,,,,POINT (11.984 -86.161)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d90,344120,Concepcion,11045,Confirmed Eruption,4,P,"East flank (Las Pilas, Sintiope)",,Radiocarbon (uncorrected),,-770,50,,0,0,,,,,,,,,POINT (11.538 -85.622)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d91,345020,Rincon de la Vieja,11083,Confirmed Eruption,4,,,Río Blanco tephra,Radiocarbon (corrected),,-1820,150,,0,0,,,,,,,,,POINT (10.83 -85.324)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d92,345033,Arenal,11107,Confirmed Eruption,4,?,,Tephra layer AR-1/SFB,Radiocarbon (corrected),,-5060,150,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d93,345033,Arenal,11109,Confirmed Eruption,4,,,Tephra layer AR-3/ET-15,Tephrochronology,?,-3900,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d94,345033,Arenal,11110,Confirmed Eruption,4,,,Tephra layer AR-4/ET-14,Tephrochronology,?,-3350,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d95,345033,Arenal,11112,Confirmed Eruption,4,,,Tephra layer AR-5/ET-13,Tephrochronology,?,-2800,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d96,345033,Arenal,11113,Confirmed Eruption,4,,,Tephra layer AR-6/ET-12,Tephrochronology,?,-2250,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d97,345033,Arenal,11115,Confirmed Eruption,4,,,Tephra layer AR-7/ET-11,Tephrochronology,?,-1650,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d98,345033,Arenal,11127,Confirmed Eruption,4,,,Tephra layer AR-18/ET-4,Tephrochronology,?,1020,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d99,345033,Arenal,11121,Confirmed Eruption,4,,,Tephra layer AR-12/ET-9N,Radiocarbon (corrected),,-170,200,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9a,345033,Arenal,11129,Confirmed Eruption,4,,,Tephra layer AR-20/ET-2,Radiocarbon (uncorrected),?,1400,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9b,345033,Arenal,11123,Confirmed Eruption,4,,,Tephra layer AR-14/ET-8M,Tephrochronology,?,550,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9c,345033,Arenal,11124,Confirmed Eruption,4,,,Tephra layer AR-15/ET-7; A3 lava flows,Radiocarbon (corrected),,650,100,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9d,345033,Arenal,11125,Confirmed Eruption,4,,,Tephra layer AR-16/ET-6,Tephrochronology,?,700,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9e,345033,Arenal,11126,Confirmed Eruption,4,,,Tephra layer AR-17/ET-5,Anthropology,,750,50,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d9f,345033,Arenal,11122,Confirmed Eruption,4,,,Tephra layer AR-13/ET-8B,Anthropology,?,400,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da0,345033,Arenal,11128,Confirmed Eruption,4,,,Tephra layer AR-19/ET-3,Tephrochronology,?,1030,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da1,345033,Arenal,11116,Confirmed Eruption,4,,,Tephra layer AR-8/ET-10,Tephrochronology,?,-1450,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da2,345033,Arenal,11117,Confirmed Eruption,4,,,Tephra layer AR-9/ET-9,Radiocarbon (corrected),,-1250,200,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da3,345033,Arenal,11119,Confirmed Eruption,4,,,Tephra layer AR-10/ET-9B,Radiocarbon (corrected),,-380,200,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da4,345033,Arenal,11120,Confirmed Eruption,4,,,Tephra layer AR-11/ET-9A,Tephrochronology,?,-270,,,0,0,,,,,,,,,POINT (10.463 -84.703)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da5,345050,Barva,11194,Confirmed Eruption,4,P,,,Tephrochronology,,-6050,2000,,0,0,,,,,,,,,POINT (10.135 -84.1)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da6,345070,Turrialba,11237,Confirmed Eruption,4,,Central summit crater,,Radiocarbon (corrected),,40,50,,0,0,,,,,,,,,POINT (10.025 -83.767)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da7,351011,Romeral,11257,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-6510,200,,,,,,,,,,,,POINT (5.203 -75.363)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da8,351011,Romeral,21077,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-5390,350,,,,,,,,,,,,POINT (5.203 -75.363)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1da9,351012,"Bravo, Cerro",11258,Confirmed Eruption,4,,,CB9 tephra,Radiocarbon (uncorrected),,-4280,150,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1daa,351012,"Bravo, Cerro",11264,Confirmed Eruption,4,,,CB2 tephra,Radiocarbon (uncorrected),,1330,75,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1dab,351012,"Bravo, Cerro",11265,Confirmed Eruption,4,,,CB1 tephra,Tephrochronology,,1720,150,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1dac,351012,"Bravo, Cerro",11259,Confirmed Eruption,4,,,CB7 tephra,Radiocarbon (uncorrected),,-1310,150,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1dad,351012,"Bravo, Cerro",11260,Confirmed Eruption,4,,,CB6 tephra,Tephrochronology,,-1050,200,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1dae,351012,"Bravo, Cerro",11261,Confirmed Eruption,4,+,,CB5 tephra,Radiocarbon (uncorrected),,-730,75,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1daf,351012,"Bravo, Cerro",11262,Confirmed Eruption,4,,,CB4 tephra,Radiocarbon (uncorrected),,750,150,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1db0,351012,"Bravo, Cerro",11263,Confirmed Eruption,4,,,CB3 tephra,Radiocarbon (uncorrected),,1050,75,,0,0,,,,,,,,,POINT (5.091 -75.293)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1db1,351020,"Ruiz, Nevado del",11272,Confirmed Eruption,4,,Arenas Crater,R8 tephra,Tephrochronology,?,-850,,,0,0,,,,,,,,,POINT (4.892 -75.324)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1db2,351020,"Ruiz, Nevado del",11273,Confirmed Eruption,4,,Arenas Crater,R7 tephra,Radiocarbon (uncorrected),,-200,100,,0,0,,,,,,,,,POINT (4.892 -75.324)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1db3,351020,"Ruiz, Nevado del",11276,Confirmed Eruption,4,,Arenas Crater,R4 tephra,Radiocarbon (uncorrected),?,1350,,,0,0,,,,,,,,,POINT (4.892 -75.324)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1db4,351020,"Ruiz, Nevado del",11279,Confirmed Eruption,4,,Arenas Crater,R2 tephra,Historical Observations,,1595,,<,3,9,,,,,,,,,POINT (4.892 -75.324)
