FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf7,300270,Sheveluch,17659,Confirmed Eruption,5,,,Tephra layer SHsp,Radiocarbon (corrected),?,-2000,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf8,300270,Sheveluch,17660,Confirmed Eruption,4,,,,Tephrochronology,?,-1700,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf9,300270,Sheveluch,19572,Confirmed Eruption,5,,,,Historical Observations,,1854,,,2,18,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cfa,300270,Sheveluch,19554,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,600,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cfb,300270,Sheveluch,19594,Confirmed Eruption,4,?,,,Historical Observations,,1999,,,8,15,,>,2018,,,3,16,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cfc,300270,Sheveluch,19559,Confirmed Eruption,4,,,,Radiocarbon (corrected),?,970,80,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cfd,300270,Sheveluch,19561,Confirmed Eruption,5,,,Tephra layer SH2,Radiocarbon (corrected),,1034,23,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cfe,300270,Sheveluch,19563,Confirmed Eruption,4,,,Tephra layer SH2a,Radiocarbon (corrected),?,1430,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cff,300270,Sheveluch,19565,Confirmed Eruption,5,,,Tephra layer SH1,Radiocarbon (corrected),,1652,11,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d00,300270,Sheveluch,19537,Confirmed Eruption,4,,,,Radiocarbon (corrected),?,-500,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d01,300270,Sheveluch,19579,Confirmed Eruption,4,+,Molodoy Sheveluch summit domes,,Historical Observations,,1964,,,11,12,,,1964,,,11,12,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d02,300270,Sheveluch,19545,Confirmed Eruption,4,,,Unit 21,Tephrochronology,?,100,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d03,300270,Sheveluch,19549,Confirmed Eruption,4,,,,Tephrochronology,?,250,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d04,300270,Sheveluch,19551,Confirmed Eruption,4,+,,,Radiocarbon (corrected),?,500,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d05,300270,Sheveluch,19553,Confirmed Eruption,4,+,,,Tephrochronology,?,580,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d06,300270,Sheveluch,19521,Confirmed Eruption,4,,,,Tephrochronology,?,-6350,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d07,300270,Sheveluch,19556,Confirmed Eruption,5,,,Tephra layer SH3,Radiocarbon (corrected),,650,40,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d08,300270,Sheveluch,19530,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,-4400,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d09,300270,Sheveluch,19533,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,-3650,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0a,300270,Sheveluch,19534,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,-3500,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0b,300270,Sheveluch,19535,Confirmed Eruption,4,+,,Tephra layer SH5,Radiocarbon (corrected),,-780,300,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0c,300270,Sheveluch,19513,Confirmed Eruption,5,,,,Tephrochronology,?,-7300,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0d,300270,Sheveluch,19539,Confirmed Eruption,4,,West flank (Karan),,Radiocarbon (corrected),?,-300,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0e,300270,Sheveluch,19516,Confirmed Eruption,5,?,,,Tephrochronology,?,-6800,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d0f,300270,Sheveluch,19517,Confirmed Eruption,4,,,,Tephrochronology,?,-6600,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d10,300270,Sheveluch,19519,Confirmed Eruption,4,,,,Radiocarbon (corrected),,-6400,150,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d11,300270,Sheveluch,19520,Confirmed Eruption,4,,,,Tephrochronology,?,-6380,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d12,300270,Sheveluch,19504,Confirmed Eruption,4,,,,Tephrochronology,?,-7950,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d13,300270,Sheveluch,19525,Confirmed Eruption,5,,,,Tephrochronology,?,-5500,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d14,300270,Sheveluch,19508,Confirmed Eruption,4,,,,Tephrochronology,?,-7630,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d15,300270,Sheveluch,19509,Confirmed Eruption,4,,,,Tephrochronology,?,-7600,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d16,300270,Sheveluch,19511,Confirmed Eruption,4,+,,,Tephrochronology,?,-7500,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d17,300270,Sheveluch,19512,Confirmed Eruption,5,,,,Radiocarbon (corrected),,-7400,150,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d18,300270,Sheveluch,19507,Confirmed Eruption,4,,,,Tephrochronology,?,-7700,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d19,300270,Sheveluch,19514,Confirmed Eruption,5,,,,Tephrochronology,?,-7150,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1a,300270,Sheveluch,17665,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,-950,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1b,300270,Sheveluch,19501,Confirmed Eruption,4,,,,Tephrochronology,?,-8350,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1c,300270,Sheveluch,19502,Confirmed Eruption,4,,,,Tephrochronology,?,-8200,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1d,300270,Sheveluch,19503,Confirmed Eruption,4,,,,Tephrochronology,?,-8100,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1e,300280,Ichinsky,19599,Confirmed Eruption,5,,SW flank,,Tephrochronology,?,-5400,,,0,0,,,,,,,,,POINT (55.678 157.718)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d1f,300551,Kinenin,19614,Confirmed Eruption,4,,,,Radiocarbon (uncorrected),,850,50,,0,0,,,,,,,,,POINT (57.35 160.97)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d20,300590,Elovsky,19617,Confirmed Eruption,4,,NE side (Ozernovsky lava flow),,Tephrochronology,,-7550,500,,0,0,,,,,,,,,POINT (57.55 160.53)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d21,305060,Changbaishan,19641,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-2160,100,,0,0,,,,,,,,,POINT (41.98 128.08)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d22,305060,Changbaishan,19643,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-180,75,,0,0,,,,,,,,,POINT (41.98 128.08)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d23,305060,Changbaishan,19644,Confirmed Eruption,7,?,,,Radiocarbon (corrected),,942,4,,0,0,,,,,,,,,POINT (41.98 128.08)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d24,306030,Ulreung,19654,Confirmed Eruption,6,,,Ulreungdo-Oki tephra layer; U-4,Radiocarbon (corrected),?,-8750,,,0,0,,,,,,,,,POINT (37.5 130.87)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d25,311130,Kasatochi,19745,Confirmed Eruption,4,,,,Historical Observations,,2008,,,8,7,,,2008,,?,8,9,,POINT (52.177 -175.508)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d26,311180,Seguam,19770,Confirmed Eruption,5,?,Wilcox volcano,,Ar/Ar,,-7300,2250,,0,0,,,,,,,,,POINT (52.315 -172.51)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d27,311290,Okmok,19833,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),,-6310,500,,0,0,,,,,,,,,POINT (53.43 -168.13)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d28,311290,Okmok,19834,Confirmed Eruption,6,,Okmok II caldera,,Radiocarbon (uncorrected),,-100,50,,0,0,,,,,,,,,POINT (53.43 -168.13)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d29,311290,Okmok,19852,Confirmed Eruption,4,?,NE caldera floor,,Historical Observations,,2008,,,7,12,,,2008,,,8,19,,POINT (53.43 -168.13)
